id,player_id_2025,first_name,second_name,web_name,team,team_name,element_type,position,now_cost,total_points_2024,games_played_2024,season
10125,125,Vitaly,Janelt,Janelt,5,Brentford,3,MID,5.0,73,38,2025
10126,126,Mathias,Jensen,Jensen,5,Brentford,3,MID,5.0,38,38,2025
10127,127,Gustavo,Nunes Fernandes Gomes,Nunes,5,Brentford,3,MID,5.0,3,36,2025
10128,128,Frank,Onyeka,Onyeka,5,Brentford,3,MID,5.0,2,38,2025
10129,129,Yehor,Yarmoliuk,Yarmoliuk,5,Brentford,3,MID,5.0,43,38,2025
10130,130,Romelle,Donovan,Donovan,5,Brentford,3,MID,4.5,107,38,2025
10131,131,Yunus Emre,Konak,Konak,5,Brentford,3,MID,4.5,10,38,2025
10132,132,Paris,Maghoma,Maghoma,5,Brentford,3,MID,4.5,8,29,2025
10133,133,Myles,Peart-Harris,Peart-Harris,5,Brentford,3,MID,4.5,0,38,2025
10134,134,Ryan,Trevitt,Trevitt,5,Brentford,3,MID,4.5,1,38,2025
10135,135,Yoane,Wissa,Wissa,5,Brentford,4,FWD,7.5,185,38,2025
10136,136,Igor Thiago,Nascimento Rodrigues,Thiago,5,Brentford,4,FWD,6.0,9,38,2025
10137,137,Iwan,Morgan,Morgan,5,Brentford,4,FWD,4.5,0,13,2025
10138,138,Jason,Steele,Steele,6,Brighton,1,GK,4.5,9,38,2025
10139,139,Bart,Verbruggen,Verbruggen,6,Brighton,1,GK,4.5,103,38,2025
10140,140,Tom,McGill,McGill,6,Brighton,1,GK,4.0,9,38,2025
10141,141,Carl,Rushworth,Rushworth,6,Brighton,1,GK,4.0,0,38,2025
10142,142,Kjell,Scherpen,Scherpen,6,Brighton,1,GK,4.0,9,38,2025
10143,143,Olivier,Boscagli,Boscagli,6,Brighton,2,DEF,4.5,87,38,2025
10144,144,Diego,Coppola,Coppola,6,Brighton,2,DEF,4.5,87,38,2025
10145,145,Maxim,De Cuyper,De Cuyper,6,Brighton,2,DEF,4.5,87,38,2025
10146,146,Lewis,Dunk,Dunk,6,Brighton,2,DEF,4.5,44,38,2025
