captain,formation,budget,gw1_score,5gw_estimated,GK1,DEF1,DEF2,DEF3,DEF4,DEF5,MID1,MID2,MID3,MID4,MID5,FWD1,FWD2,FWD3,GK2,DEF4.1,DEF5.1,DEF6,DEF7
Mohamed Salah,5-3-2,98.0,66.3,341.6,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),Cole Palmer (Chelsea),,,Raúl Jiménez Rodríguez (Fulham),Chris Wood (Nott'm Forest),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Mohamed Salah,5-3-2,98.5,66.3,341.4,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Kevin Schade (Brentford),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Mohamed Salah,5-3-2,97.0,66.3,341.4,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Antoni Milambo (Brentford),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Mohamed Salah,5-3-2,98.0,66.3,341.4,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Ismaïla Sarr (Crystal Palace),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Mohamed Salah,5-3-2,98.0,66.3,341.3,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),Cole Palmer (Chelsea),,,Jørgen Strand Larsen (Wolves),Chris Wood (Nott'm Forest),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Mohamed Salah,5-3-2,100.0,66.2,341.0,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),Cole Palmer (Chelsea),,,Alexander Isak (Newcastle),Joël Piroe (Leeds),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Mohamed Salah,5-3-2,100.0,66.2,341.0,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Bryan Mbeumo (Man Utd),Mohamed Salah (Liverpool),Cole Palmer (Chelsea),,,Alexander Isak (Newcastle),Joël Piroe (Leeds),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Mohamed Salah,5-3-2,100.0,66.2,341.0,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Cole Palmer (Chelsea),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),,,Alexander Isak (Newcastle),Joël Piroe (Leeds),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Mohamed Salah,5-3-2,100.0,66.2,341.0,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),Cole Palmer (Chelsea),,,Alexander Isak (Newcastle),Joël Piroe (Leeds),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Bryan Mbeumo,5-3-2,96.0,60.6,312.8,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Florian Wirtz (Liverpool),Bryan Mbeumo (Man Utd),Cole Palmer (Chelsea),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Bryan Mbeumo,5-3-2,95.5,60.6,312.8,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),,Bryan Mbeumo (Man Utd),Cole Palmer (Chelsea),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
